,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
0,1.0,0.58,0.43,0.13,0.7979999999999999,0.365,0.173,0.2285,9.01261537031991,10
5,1.0,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,8.915977722869924,9
10,1.0,0.495,0.375,0.115,0.507,0.241,0.103,0.15,7.717834963233663,8
11,1.0,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,8.748895189957816,9
13,1.0,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,7.607084255859773,9
19,1.0,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,7.40433987291508,9
23,1.0,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,7.0873526485796585,6
34,1.0,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,8.178073760577309,7
38,1.0,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7.140393499747298,7
43,1.0,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8.254040538205212,8
44,1.0,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,8.551857525625687,7
48,1.0,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9.475554223993607,9
68,1.0,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,6.841079694868305,8
78,1.0,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8.109863127530469,8
82,1.0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,8.730636716384298,6
86,1.0,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8.823538221376454,8
87,1.0,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7.196576724846035,7
88,1.0,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,10.748527210051082,12
91,1.0,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10.33741644990255,10
94,1.0,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,10.852059593887791,8
102,1.0,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8.471934875227525,8
104,1.0,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,8.26914547475064,6
109,1.0,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,8.790267506622573,9
110,1.0,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6.738264320128104,6
112,1.0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,12.432876584801235,14
114,1.0,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.2189999999999999,9.341380522198795,8
117,1.0,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,8.752094914022104,9
123,1.0,0.465,0.38,0.13,0.4539999999999999,0.1895,0.08,0.155,9.533807961230906,11
