,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
2,1.0,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,7.953726282608484,9
8,1.0,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,5.744252725250824,6
15,1.0,0.29,0.21,0.06,0.1195,0.0559999999999999,0.0235,0.03,5.153398858007722,6
16,1.0,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4.013189116437254,4
18,1.0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,7.152481475028725,4
21,1.0,0.32,0.235,0.065,0.1385,0.0579999999999999,0.0225,0.05,6.503946515430132,5
26,1.0,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,8.313096594503122,10
52,1.0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,6.566487757923249,9
55,1.0,0.315,0.23,0.07,0.1639999999999999,0.0625,0.04,0.045,6.1983125598712965,6
60,1.0,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,7.175191293025041,8
64,1.0,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,8.799352490368856,6
66,1.0,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,7.816476394822967,6
67,1.0,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,5.170903514442881,7
75,1.0,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,5.426297683326339,7
79,1.0,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5.789827231310054,5
99,1.0,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,9.320559259941945,11
105,1.0,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,6.007541455932974,5
106,1.0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,7.314614930959663,9
107,1.0,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,7.525556918022886,6
130,1.0,0.26,0.2,0.065,0.096,0.044,0.027,0.03,5.38866962238104,6
133,1.0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5.56366146162481,5
136,1.0,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,3.823179910163167,4
143,1.0,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,7.094194485451089,11
170,1.0,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,6.269799734251566,7
172,1.0,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,4.2870557619035665,5
175,1.0,0.41,0.325,0.11,0.326,0.1325,0.075,0.1009999999999999,8.971705745304705,8
183,1.0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,6.520947540102606,8
184,1.0,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,5.050643324527665,7
194,1.0,0.37,0.295,0.1,0.2685,0.1165,0.0559999999999999,0.0835,8.004333905683879,7
204,1.0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,6.830670268369578,10
212,1.0,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,5.50412185198027,4
219,1.0,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,5.71750092165788,6
224,1.0,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7.249629018675654,7
227,1.0,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,8.044025692407278,6
233,1.0,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5.9398363905147455,5
234,1.0,0.395,0.3,0.09,0.253,0.1155,0.05,0.075,7.340043485160038,6
245,1.0,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6.067027499659269,6
253,1.0,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,5.660450125075588,6
259,1.0,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,6.5111681747747285,7
261,1.0,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4.948566203789378,4
262,1.0,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,3.563958013479021,4
