,Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,y_pred,y_act
6,1.0,7.0,2.0,3.4000000000000004,2.1,4.9,1.2,1.36,9.922,3.25,4.6000000000000005,11.6,5.915776743761627,7
15,1.0,7.7,3.8,4.0,2.0,3.8,2.8,1.52,9.906,3.18,3.2,12.9,6.11666570863997,6
16,1.0,6.4,1.6,2.5,1.4,5.7,2.1,1.25,9.909099999999999,3.23,4.4,11.1,6.0551546703114125,7
19,1.0,8.0,1.4000000000000001,4.9,1.5,3.5000000000000004,4.2,1.2,9.928,3.26,4.0,10.6,6.204090268453354,7
21,1.0,6.3,1.7000000000000002,3.2,1.0,4.0,3.9,1.18,9.8886,3.31,4.0,13.1,6.686019663685378,8
22,1.0,7.2,1.6,3.5,1.2,3.1,2.7,0.84,9.928,3.33,3.4000000000000004,9.9,5.808720564960039,5
27,1.0,9.0,1.7000000000000002,4.9,1.0,3.9,4.6,1.31,9.93,3.09,5.1,10.5,5.93537186917583,7
30,1.0,7.2,1.4000000000000001,3.5,1.2,3.5999999999999996,1.5,0.73,9.938,3.46,3.9000000000000004,9.9,5.624709338057647,5
37,1.0,7.2,3.3000000000000003,3.4000000000000004,2.0,4.3999999999999995,6.1,1.71,9.8947,3.25,5.300000000000001,13.3,7.117164316803512,7
38,1.0,5.8,3.5999999999999996,3.2,1.7,3.3000000000000003,2.2,0.96,9.898,3.03,3.8,11.2,5.812534897289815,6
39,1.0,6.3,2.3000000000000003,3.1,1.5,2.1999999999999997,1.1,0.82,9.892,3.3,4.0,12.9,6.440823388528562,7
40,1.0,6.4,3.3000000000000003,2.8000000000000003,1.1,3.8,3.0,1.1,9.917,3.12,4.2,10.5,5.3653581763710845,6
43,1.0,8.2,1.7000000000000002,3.2,1.5,5.0,1.7,1.01,9.94,3.14,5.8,9.5,5.522937374321241,5
