,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
1,1.0,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,11.947582507716145,10
3,1.0,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,8.107936814160228,7
4,1.0,0.72,0.565,0.17,1.6130000000000002,0.723,0.3255,0.4945,11.681955549541664,12
6,1.0,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,9.242153834041392,8
7,1.0,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,13.334989748027521,17
9,1.0,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,12.524211369152956,18
12,1.0,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,12.16225963158957,11
14,1.0,0.675,0.505,0.16,1.5319999999999998,0.74,0.357,0.3815,9.22409184382793,11
20,1.0,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,12.577192722090329,17
22,1.0,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13.77666178567282,13
24,1.0,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,10.293821511375908,8
27,1.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10.162975971463501,10
28,1.0,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11.73276649499122,11
29,1.0,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,8.599075183733238,9
30,1.0,0.61,0.485,0.145,1.3305,0.7829999999999999,0.2255,0.2865,7.1708413874282115,9
31,1.0,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,11.866926509555094,12
32,1.0,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,10.689909391989874,12
33,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,11.463779230758602,9
35,1.0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,14.07647609254341,13
37,1.0,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9.368116680151777,9
39,1.0,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12.014521666712758,12
40,1.0,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,12.021261879011469,13
46,1.0,0.55,0.46,0.175,0.8690000000000001,0.3155,0.1825,0.32,13.118158437814532,10
47,1.0,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,10.871030786214531,13
50,1.0,0.615,0.5,0.205,1.1055,0.4445,0.2269999999999999,0.39,13.07243924966394,16
53,1.0,0.585,0.475,0.165,1.053,0.4579999999999999,0.217,0.3,11.415296904509287,11
54,1.0,0.615,0.475,0.155,1.027,0.447,0.25,0.285,10.224350474497811,9
56,1.0,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,10.11706613731018,12
57,1.0,0.64,0.525,0.175,1.382,0.6459999999999999,0.3115,0.37,10.211509009476726,9
58,1.0,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,8.810899803806048,10
59,1.0,0.655,0.54,0.215,1.5555,0.695,0.296,0.444,12.891980585544,11
61,1.0,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,11.848634985079114,10
62,1.0,0.605,0.485,0.16,1.2009999999999998,0.417,0.2875,0.38,13.705592025877044,9
63,1.0,0.585,0.46,0.145,0.8465,0.3389999999999999,0.1669999999999999,0.295,11.713107315044983,10
65,1.0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,13.25903512525906,17
69,1.0,0.6,0.46,0.145,0.9325,0.3985,0.2245,0.248,10.223828207206182,8
71,1.0,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,13.965518684141328,11
72,1.0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,10.395975666501952,8
73,1.0,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,9.680303468077502,11
74,1.0,0.65,0.5,0.19,1.464,0.6415,0.3389999999999999,0.4245,11.700501696660396,9
76,1.0,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10.719611463568125,10
77,1.0,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,9.197680576962654,8
80,1.0,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,9.186399525311256,8
81,1.0,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,9.453149230749451,10
84,1.0,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,12.941871047235383,17
85,1.0,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,9.766683376840565,11
89,1.0,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,10.622339227352176,8
90,1.0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,12.490959544194055,9
92,1.0,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,14.71918308781096,16
93,1.0,0.645,0.5,0.175,1.3375,0.5539999999999999,0.308,0.415,12.17324623319083,10
95,1.0,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,11.248179034520856,10
96,1.0,0.65,0.505,0.165,1.16,0.4785,0.2739999999999999,0.349,11.250353815888596,11
97,1.0,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,8.62717038596494,9
98,1.0,0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,11.388135339796074,8
100,1.0,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,11.453718233972143,12
101,1.0,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12.609741486024873,12
103,1.0,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,8.469681154078446,9
108,1.0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11.22059967779594,11
111,1.0,0.57,0.43,0.145,0.833,0.354,0.144,0.2815,11.747854370952096,10
113,1.0,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,11.248293685966386,8
115,1.0,0.59,0.45,0.125,0.86,0.437,0.1515,0.245,9.288924567743315,9
116,1.0,0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,11.597001484421758,9
118,1.0,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9.050265541293612,9
120,1.0,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,12.327447126609028,16
122,1.0,0.685,0.505,0.19,1.533,0.667,0.4055,0.41,10.610470255354796,10
126,1.0,0.66,0.525,0.2,1.463,0.6525,0.2995,0.422,12.0910831047372,11
127,1.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,13.455284344279505,19
129,1.0,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,9.162035050261693,10
131,1.0,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,11.575656068332709,12
134,1.0,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,8.654302608703235,9
140,1.0,0.555,0.425,0.14,0.963,0.44,0.2239999999999999,0.24,10.070278799685775,7
141,1.0,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,11.018109872804649,10
142,1.0,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10.245176439306547,10
147,1.0,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10.6003233975738,10
148,1.0,0.535,0.44,0.165,0.875,0.2789999999999999,0.18,0.3,14.166357956483058,10
149,1.0,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9.314570546699331,9
150,1.0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,10.69843075398048,16
153,1.0,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8.803660950309789,8
162,1.0,0.55,0.45,0.13,0.92,0.3779999999999999,0.2385,0.29,10.633034867904858,11
164,1.0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,10.816571423966678,14
165,1.0,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8.814807411719354,8
166,1.0,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,8.33868974007704,10
168,1.0,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,11.322541391737479,10
169,1.0,0.635,0.5,0.18,1.3119999999999998,0.529,0.2485,0.485,13.990813313006793,18
171,1.0,0.52,0.41,0.17,0.8705,0.3735,0.2189999999999999,0.25,11.035959390945987,14
174,1.0,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,10.411917102055472,9
176,1.0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,12.982480218036827,17
177,1.0,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,11.980148671500704,13
178,1.0,0.49,0.39,0.14,0.7070000000000001,0.2795,0.2185,0.18,10.242037536678165,13
179,1.0,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10.665673762833713,10
181,1.0,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10.339109764185997,10
186,1.0,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,11.592309188676257,16
187,1.0,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,10.4421316565868,11
189,1.0,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,8.679504988379804,9
190,1.0,0.67,0.55,0.155,1.5659999999999998,0.858,0.3389999999999999,0.354,6.754375422093688,10
192,1.0,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12.815459278457592,12
193,1.0,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,14.479520070849885,18
200,1.0,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12.164736695860515,12
201,1.0,0.59,0.47,0.15,0.9955,0.481,0.2319999999999999,0.24,9.090748879104138,8
206,1.0,0.575,0.47,0.165,0.853,0.292,0.179,0.35,13.30919645221017,16
207,1.0,0.64,0.505,0.155,1.1955,0.5565,0.211,0.346,11.016358424165299,11
210,1.0,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9.490973708358315,9
214,1.0,0.635,0.51,0.155,1.156,0.428,0.289,0.315,11.941325415888036,18
215,1.0,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12.720640409931622,12
218,1.0,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,11.52083883260202,14
220,1.0,0.55,0.445,0.11,0.7935,0.3779999999999999,0.142,0.26,9.99886068698271,10
222,1.0,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10.972706019703024,10
223,1.0,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,10.66856641993939,13
229,1.0,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,9.141577486571533,11
231,1.0,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,11.512377596067251,10
232,1.0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,14.240680803641775,15
235,1.0,0.72,0.565,0.2,1.787,0.718,0.385,0.529,14.137876295455174,11
236,1.0,0.63,0.49,0.155,1.229,0.535,0.29,0.335,10.683988149158786,11
237,1.0,0.56,0.455,0.16,0.967,0.4525,0.207,0.2739999999999999,10.380308745857505,9
238,1.0,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,10.416263942676881,9
239,1.0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,10.281352261936638,14
240,1.0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,13.8426575355186,20
242,1.0,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,11.153922292829513,16
244,1.0,0.52,0.385,0.165,0.7909999999999999,0.375,0.18,0.1815,10.162799794818675,10
247,1.0,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11.04080248984006,11
248,1.0,0.58,0.475,0.135,0.925,0.391,0.165,0.275,11.481450647225623,14
251,1.0,0.525,0.43,0.165,0.7170000000000001,0.289,0.1745,0.195,10.983081894784338,10
252,1.0,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,10.507004137314958,13
255,1.0,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10.034833229951005,10
256,1.0,0.59,0.47,0.135,1.1685,0.539,0.2789999999999999,0.28,9.616702299123876,8
257,1.0,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9.003148941706263,9
260,1.0,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,10.38374613144345,11
265,1.0,0.505,0.4,0.13,0.764,0.3035,0.1889999999999999,0.2175,11.063592392987161,11
268,1.0,0.585,0.475,0.15,1.065,0.5315,0.1989999999999999,0.2885,9.858598038198265,10
273,1.0,0.62,0.51,0.175,1.2705,0.5415,0.3229999999999999,0.3225,10.734833451195739,9
274,1.0,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,11.142507927365564,10
275,1.0,0.66,0.525,0.16,1.277,0.4975,0.319,0.3939999999999999,11.841010312392891,13
277,1.0,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11.354417428347997,11
279,1.0,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,9.923546686901163,10
282,1.0,0.735,0.59,0.215,1.747,0.7275,0.4029999999999999,0.557,12.975847110487559,11
283,1.0,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11.28189043424342,11
284,1.0,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,8.953925248073432,11
285,1.0,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,11.571125709380873,13
286,1.0,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9.745123368134278,9
288,1.0,0.595,0.475,0.17,1.0965,0.419,0.2289999999999999,0.35,13.13890314666571,17
293,1.0,0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,9.300672377720767,10
295,1.0,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,10.089881844334187,9
296,1.0,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11.603677907726203,11
298,1.0,0.55,0.45,0.17,0.81,0.317,0.157,0.22,12.09591377508458,11
299,1.0,0.625,0.47,0.175,1.179,0.605,0.258,0.271,8.795887897662162,9
303,1.0,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12.356961439614748,12
304,1.0,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,12.784302097611603,13
307,1.0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,10.57739159865288,15
309,1.0,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,10.947335402862317,15
311,1.0,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,10.899475438241355,11
314,1.0,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,12.493780202023174,10
320,1.0,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,8.992760899513549,9
324,1.0,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,9.996203185651353,10
325,1.0,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,10.20530684321917,14
328,1.0,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,8.697086656329198,12
331,1.0,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,10.941712495645218,7
336,1.0,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,10.599133068785386,8
338,1.0,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,9.850445408676427,11
340,1.0,0.45,0.36,0.16,0.5670000000000001,0.174,0.1245,0.225,13.267480290508972,12
342,1.0,0.605,0.475,0.175,1.0759999999999998,0.4629999999999999,0.2195,0.335,11.79893834930119,9
343,1.0,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8.426468648472412,8
344,1.0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11.811542859927785,11
346,1.0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,14.346591672705673,10
348,1.0,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,9.665576382420833,11
351,1.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,12.661259904667228,19
354,1.0,0.6,0.465,0.165,1.0475,0.465,0.2345,0.315,10.838456936691639,11
358,1.0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,10.66212781443457,13
362,1.0,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9.080510463616626,9
364,1.0,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,13.308582146004522,8
367,1.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,11.2934566838984,13
369,1.0,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,11.23442343701001,14
370,1.0,0.595,0.45,0.145,0.959,0.4629999999999999,0.2065,0.2535,9.502290702496976,10
374,1.0,0.555,0.42,0.14,0.868,0.33,0.243,0.21,10.766759963881436,13
378,1.0,0.685,0.535,0.175,1.432,0.637,0.247,0.46,12.618654421510564,11
379,1.0,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,9.939530063552583,10
380,1.0,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,8.472775747330967,9
382,1.0,0.45,0.335,0.14,0.4625,0.1639999999999999,0.076,0.15,12.220531862099257,14
383,1.0,0.61,0.495,0.16,1.089,0.469,0.198,0.384,12.177775681718504,11
384,1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,13.027046810568981,16
385,1.0,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,11.39291782286348,10
