,Constant,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,y_pred,y_act
4,1.0,0.03578,20.0,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76,40.868048722940976,45.4
7,1.0,0.21977,0.0,6.91,0,0.4479999999999999,5.602,62.0,6.0877,3,233,17.9,396.9,16.2,17.538301727662123,19.4
8,1.0,0.06047,0.0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,26.002460421486465,29.6
10,1.0,0.06724,0.0,3.24,0,0.46,6.332999999999999,17.2,5.2146,4,430,16.9,375.21,7.34,23.47489494712582,22.6
11,1.0,0.31533,0.0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,44.28720794170593,44.8
12,1.0,0.0454399999999999,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09,20.141984837471362,19.8
15,1.0,0.04666,80.0,1.52,0,0.4039999999999999,7.107,36.6,7.309,2,329,12.6,354.31,8.61,33.223426172207844,30.3
16,1.0,0.36894,22.0,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54,42.7237465135271,42.8
17,1.0,0.06905,0.0,2.18,0,0.4579999999999999,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,32.778088332499884,36.2
19,1.0,0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5,27.140701042753218,22.0
21,1.0,0.22969,0.0,10.59,0,0.489,6.3260000000000005,52.5,4.3549,4,277,18.6,394.87,10.97,23.80006422656171,24.4
27,1.0,0.12816,12.5,6.07,0,0.409,5.885,33.0,6.497999999999999,4,345,18.9,396.9,8.79,18.59413870525845,20.9
34,1.0,0.01311,90.0,1.22,0,0.4029999999999999,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.66888909112918,35.4
35,1.0,0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,24.79001177439206,23.8
38,1.0,0.01965,80.0,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,23.602976575121765,20.1
40,1.0,0.01432,100.0,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,30.96861451437507,31.6
41,1.0,0.08664,45.0,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87,32.24890755960336,36.4
42,1.0,0.03466,35.0,6.06,0,0.4379,6.031000000000001,23.3,6.6407,1,304,16.9,362.25,7.83,20.484289220310913,19.4
43,1.0,0.05023,35.0,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43,18.058453286750332,17.1
45,1.0,0.18836,0.0,6.91,0,0.4479999999999999,5.7860000000000005,33.3,5.1004,3,233,17.9,396.9,14.15,21.346641908881548,20.0
48,1.0,0.01538,90.0,3.75,0,0.3939999999999999,7.454,34.2,6.3361,3,244,15.9,386.34,3.11,37.87066774110336,44.0
50,1.0,0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4,21.685255867545596,20.1
