,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
17,M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
25,F,0.665,0.525,0.18,1.5785,0.6779999999999999,0.2289999999999999,0.456,14
41,M,0.565,0.435,0.185,0.9815,0.3289999999999999,0.136,0.39,13
42,F,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,10
45,F,0.62,0.48,0.23,1.0935,0.4029999999999999,0.245,0.355,14
49,F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14
51,M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15
70,M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
83,F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
121,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
125,M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
137,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
138,I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
145,M,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,13
158,F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
185,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
191,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
195,M,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19
213,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
230,M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15
243,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
246,M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
250,F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
254,F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
269,F,0.68,0.58,0.2,1.787,0.585,0.4529999999999999,0.6,19
281,F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
287,F,0.565,0.505,0.21,1.2765,0.501,0.2789999999999999,0.355,12
290,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
291,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
306,M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17
310,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,9
339,M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11
341,I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7
349,F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
360,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
372,M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20
377,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
402,M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
409,M,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,24
410,M,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12
413,I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
432,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
437,F,0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12
439,F,0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10
444,M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12
460,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
464,M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19
465,M,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17
470,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16
474,M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
485,F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17
487,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
497,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
498,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
506,F,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,15
512,M,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
513,F,0.53,0.41,0.165,0.8115,0.24,0.1689999999999999,0.24,19
515,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
549,F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
565,M,0.57,0.43,0.12,1.0615,0.348,0.1669999999999999,0.31,15
577,M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
585,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
592,F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11
601,F,0.66,0.515,0.18,1.523,0.54,0.3365,0.555,16
613,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
619,M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
627,F,0.525,0.43,0.125,0.813,0.3315,0.166,0.1775,12
633,M,0.54,0.405,0.155,0.9715,0.3225,0.1939999999999999,0.29,19
640,F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11
661,F,0.605,0.45,0.165,1.2225,0.357,0.2019999999999999,0.385,13
688,F,0.695,0.55,0.16,1.6365,0.6940000000000001,0.3005,0.44,13
689,F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23
694,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11
719,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
723,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
724,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10
727,F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
731,F,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586,11
733,M,0.585,0.47,0.165,1.409,0.8,0.2289999999999999,0.295,10
742,F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
746,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
751,M,0.63,0.515,0.155,1.259,0.4105,0.1969999999999999,0.41,13
752,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
755,M,0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999,13
762,M,0.705,0.555,0.215,2.141,1.0465,0.3829999999999999,0.528,11
764,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
771,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
772,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
777,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
784,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
788,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
789,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
794,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
807,F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
810,F,0.7,0.575,0.205,1.773,0.605,0.447,0.5379999999999999,13
827,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
844,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
847,F,0.605,0.505,0.18,1.4340000000000002,0.7285,0.264,0.431,11
866,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
885,M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
905,M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18
918,F,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
926,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
929,M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
932,F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13
933,M,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
936,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
944,I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11
957,M,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
972,F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21
979,F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
980,F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
996,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
1018,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
1031,M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11
1046,F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18
1061,M,0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
1075,M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
1079,F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13
1088,M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10
1092,M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15
1105,F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18
1116,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
1159,F,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
1162,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
1165,M,0.735,0.59,0.205,2.087,0.909,0.474,0.625,12
1168,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
1170,M,0.595,0.475,0.16,1.3175,0.408,0.2339999999999999,0.58,21
1178,F,0.715,0.565,0.18,1.79,0.8440000000000001,0.3535,0.5385,9
1181,M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
1185,M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
1200,F,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13
1207,I,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8
1210,M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11
1218,M,0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
1219,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
1220,M,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,9
1228,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
1235,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16
1238,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
1239,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
1241,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16
1257,F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8
1261,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
1269,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
1286,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
1293,M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15
1301,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
1307,F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
1308,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
1309,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
1314,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
1373,F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10
1375,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
1378,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13
1395,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
1408,M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11
1421,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
1422,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
1431,M,0.565,0.39,0.125,0.7440000000000001,0.352,0.13,0.1685,11
1432,F,0.655,0.545,0.185,1.759,0.6865,0.313,0.547,11
1439,F,0.38,0.32,0.115,0.6475,0.3229999999999999,0.1325,0.1639999999999999,7
