,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
0,M,0.58,0.43,0.13,0.7979999999999999,0.365,0.173,0.2285,10
5,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
10,I,0.495,0.375,0.115,0.507,0.241,0.103,0.15,8
11,I,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9
13,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
19,M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9
23,I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
34,I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7
38,I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7
43,F,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8
44,I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
48,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9
68,M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
78,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
82,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
86,I,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8
87,I,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
88,F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
91,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
94,F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
102,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
104,I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
109,I,0.485,0.355,0.12,0.5085,0.21,0.122,0.135,9
110,I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6
112,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14
114,M,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.2189999999999999,8
117,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9
123,I,0.465,0.38,0.13,0.4539999999999999,0.1895,0.08,0.155,11
124,I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
128,I,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10
132,I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
135,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
139,M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.1939999999999999,8
144,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
146,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
151,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
152,I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8
154,I,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9
155,I,0.55,0.43,0.145,0.7120000000000001,0.3025,0.152,0.225,10
156,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
157,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
159,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
160,I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
161,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
163,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
167,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
173,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8
180,M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
182,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
188,I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
196,M,0.55,0.425,0.16,0.7929999999999999,0.3429999999999999,0.2035,0.215,9
197,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
198,F,0.6,0.485,0.145,0.7759999999999999,0.3545,0.1585,0.239,9
199,I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
202,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
203,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
205,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
208,I,0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
209,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
211,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
216,I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
217,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
221,I,0.5,0.375,0.14,0.5589999999999999,0.2375,0.135,0.1689999999999999,9
225,I,0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
226,F,0.42,0.33,0.125,0.4629999999999999,0.186,0.11,0.145,10
228,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
241,I,0.405,0.3,0.09,0.2689999999999999,0.103,0.067,0.11,6
249,I,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12
258,I,0.45,0.35,0.12,0.4679999999999999,0.2005,0.1065,0.1325,8
264,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
266,I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
