,sex,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
36,I,0.29,0.225,0.075,0.152,0.071,0.059,0.045,9
119,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
675,F,0.455,0.355,1.13,0.594,0.332,0.1159999999999999,0.1335,8
1455,I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8
1461,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
1643,I,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7
1737,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
1794,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5
2244,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8
2422,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
2446,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
2597,F,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8
2714,F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11
2876,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
2968,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
3068,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
3533,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8
